Team,Date,Score,Score adjusted,Score with region multiplier
Gen.G,2/28/2024 8:08,22.37619927,52.4190097,98180.80517
Gen.G,2/28/2024 9:02,12.38062647,42.4234369,79459.09731
T1,2/28/2024 10:41,12.19953929,42.24234972,79119.92103
LNG Esports,2/28/2024 11:17,23.0070041,53.04981453,96868.96133
LNG Esports,2/28/2024 12:12,11.43788064,41.48069107,75743.74189
T1,2/28/2024 14:09,14.35764453,44.40045496,83162.05214
Dplus KIA,2/29/2024 6:15,22.07262452,52.11543495,97612.20966
Dplus KIA,2/29/2024 7:05,15.63023894,45.67304937,85545.62147
Vikings Esports,2/29/2024 10:06,11.62031919,41.66312962,34955.36575
Vikings Esports,2/29/2024 11:01,22.94629368,52.98910411,44457.85835
Weibo Gaming,2/29/2024 12:07,0.077907598,30.12071803,55000.43112
GAM Esports,2/29/2024 12:09,-22.19210618,7.85070425,6586.740866
Weibo Gaming,2/29/2024 12:59,-15.89333951,14.14947092,25836.9339
GAM Esports,2/29/2024 12:59,19.80949123,49.85230166,41826.08109
Weibo Gaming,2/29/2024 13:46,-9.179844561,20.86296587,38095.77568
GAM Esports,2/29/2024 14:00,-21.7225837,8.32022673,6980.670226
Hanwha Life Esports,3/1/2024 6:13,-11.61355794,18.42925249,34517.98991
Hanwha Life Esports,3/1/2024 7:10,7.326804525,37.36961496,69993.28881
Bilibili Gaming,3/1/2024 7:17,24.0887007,54.13151113,98844.13932
Bilibili Gaming,3/1/2024 8:09,12.43662002,42.47943045,77567.44
Hanwha Life Esports,3/1/2024 8:13,13.48813195,43.53094238,81533.45508
Gen.G,3/1/2024 9:29,21.44130259,51.48411302,96429.74369
Top Esports,3/1/2024 9:46,15.39735605,45.44016648,82973.74399
Gen.G,3/1/2024 10:20,21.51933374,51.56214417,96575.89603
Top Esports,3/1/2024 10:37,-14.66875941,15.37405102,28073.01716
Top Esports,3/1/2024 11:25,30.4999066,60.54271703,110551.0013
PSG Talon,3/1/2024 11:41,36.32343212,66.36624255,57274.06732
PSG Talon,3/1/2024 12:32,-12.43217756,17.61063287,15197.97617
PSG Talon,3/1/2024 13:33,27.88740509,57.93021552,49993.77599
T1,3/2/2024 7:23,26.06188337,56.1046938,105084.0915
T1,3/2/2024 8:13,27.01304509,57.05585552,106865.6174
LNG Esports,3/2/2024 9:17,40.97025577,71.0130662,129669.8589
Vikings Esports,3/2/2024 10:04,10.52734856,40.57015899,34038.36339
LNG Esports,3/2/2024 10:06,-9.624095099,20.41871533,37284.57419
Vikings Esports,3/2/2024 10:52,8.040397772,38.0832082,31951.81168
LNG Esports,3/2/2024 10:59,27.3166306,57.35944103,104738.3393
GAM Esports,3/2/2024 11:55,-6.003062658,24.03974777,20169.34838
GAM Esports,3/2/2024 12:47,1.391197383,31.43400781,26373.13256
GAM Esports,3/2/2024 13:52,15.47906795,45.52187838,38192.85596
paiN Gaming,3/2/2024 17:10,-8.168607037,21.87420339,13868.24495
FlyQuest,3/2/2024 22:06,-13.26554654,16.77726389,24931.01414
Team Liquid,3/2/2024 22:59,-5.057250714,24.98555972,37128.54174
100 Thieves,3/3/2024 0:02,20.01486846,50.05767889,74385.71083
Dplus KIA,3/3/2024 4:14,2.159812668,32.2026231,60315.51306
Dplus KIA,3/3/2024 5:31,-13.43349628,16.60931415,31109.2454
Dplus KIA,3/3/2024 6:24,14.51401601,44.55682644,83454.93592
Weibo Gaming,3/3/2024 7:16,-1.389330367,28.65348006,52321.2546
Hanwha Life Esports,3/3/2024 8:03,16.5982055,46.64101593,87358.62284
Weibo Gaming,3/3/2024 8:21,-9.105914194,20.93689624,38230.77253
Hanwha Life Esports,3/3/2024 8:54,22.33252043,52.37533086,98098.9947
Fukuoka SoftBank HAWKS gaming,3/3/2024 9:15,18.47919159,48.52200202,41874.48774
Fukuoka SoftBank HAWKS gaming,3/3/2024 10:09,15.18092444,45.22373487,39028.08319
Fukuoka SoftBank HAWKS gaming,3/3/2024 11:05,20.15626834,50.19907877,43321.80498
PSG Talon,3/3/2024 12:30,25.42702227,55.4698327,47870.46562
PSG Talon,3/3/2024 13:20,-10.4564062,19.58640423,16903.06685
PSG Talon,3/3/2024 14:17,11.59765549,41.64046592,35935.72209
paiN Gaming,3/3/2024 19:43,22.48427456,52.52708499,33302.17188
FlyQuest,3/3/2024 22:13,30.44354484,60.48635527,89882.72393
100 Thieves,3/3/2024 22:13,-16.31731105,13.72549938,20396.09208
Team Liquid,3/4/2024 0:06,2.62582219,32.66863262,48545.58807
Top Esports,3/4/2024 9:15,22.66202498,52.70483541,96239.02946
Top Esports,3/4/2024 10:07,18.2313999,48.27421033,88148.70806
Bilibili Gaming,3/4/2024 11:17,15.24913509,45.29194552,82703.09252
Bilibili Gaming,3/4/2024 12:14,12.88036885,42.92317928,78377.72537
Gen.G,3/6/2024 8:29,13.5212008,43.56401123,81595.39303
Hanwha Life Esports,3/6/2024 8:29,-13.11057443,16.932236,31714.07803
Gen.G,3/6/2024 9:20,11.04044529,41.08325572,76948.93796
Hanwha Life Esports,3/6/2024 9:20,-6.275085266,23.76772516,44516.94923
Movistar R7,3/6/2024 22:06,18.46388906,48.50669949,28279.4058
Movistar R7,3/6/2024 23:08,21.02539482,51.06820525,29772.76366
Movistar R7,3/6/2024 23:57,19.02969494,49.07250537,28609.27063
T1,3/7/2024 5:14,17.54602662,47.58883705,89133.89179
T1,3/7/2024 6:03,32.76811781,62.81092824,117644.8686
GAM Esports,3/7/2024 10:07,31.78689613,61.82970656,51875.1238
Vikings Esports,3/7/2024 10:07,-14.84134907,15.20146136,12754.02608
GAM Esports,3/7/2024 11:03,20.18337513,50.22618556,42139.76968
Vikings Esports,3/7/2024 11:03,-15.69241606,14.35039437,12039.98088
Weibo Gaming,3/7/2024 11:18,19.62994588,49.67275631,90702.45302
Weibo Gaming,3/7/2024 12:22,23.23434562,53.27715605,97284.08695
Hanwha Life Esports,3/8/2024 5:14,25.70251813,55.74532856,104411.0004
Hanwha Life Esports,3/8/2024 6:01,19.6676141,49.71042453,93107.62514
LNG Esports,3/8/2024 7:18,-11.93648025,18.10633018,33062.15891
Dplus KIA,3/8/2024 7:35,4.907499438,34.95030987,65461.93038
LNG Esports,3/8/2024 8:11,22.78343091,52.82624134,96460.71669
Dplus KIA,3/8/2024 8:38,11.74450559,41.78731602,78267.64291
LNG Esports,3/8/2024 9:06,-12.55119193,17.4916185,31939.69538
Bilibili Gaming,3/8/2024 9:17,27.25955904,57.30236947,104634.1267
Bilibili Gaming,3/8/2024 10:04,26.18277078,56.22558121,102667.9113
Top Esports,3/8/2024 11:22,17.07650008,47.11931051,86039.86099
Top Esports,3/8/2024 12:04,22.34610356,52.38891399,95662.15695
Team Liquid,3/8/2024 21:52,25.4472899,55.49010033,82458.28909
FlyQuest,3/8/2024 21:52,-15.1884808,14.85432963,22073.53383
100 Thieves,3/8/2024 22:42,23.08994355,53.13275398,78955.27241
T1,3/9/2024 5:15,-16.67784252,13.36496791,25032.5849
Gen.G,3/9/2024 5:15,23.45895743,53.50176786,100208.8112
T1,3/9/2024 6:11,-11.90513246,18.13767797,33971.87084
Gen.G,3/9/2024 6:11,20.78707869,50.82988912,95204.38232
GAM Esports,3/9/2024 10:06,-5.998447643,24.04436279,20173.22038
GAM Esports,3/9/2024 11:05,15.55729111,45.60010154,38258.48519
GAM Esports,3/9/2024 12:04,-6.571197702,23.47161273,19692.68308
paiN Gaming,3/9/2024 16:14,-16.98425202,13.05855841,8279.126032
Fnatic,3/9/2024 17:07,19.14057886,49.18338929,75840.78629
G2 Esports,3/9/2024 17:59,24.6883177,54.73112813,84395.39958
MAD Lions KOI,3/9/2024 19:45,32.9734047,63.01621513,97171.00373
FlyQuest,3/9/2024 21:55,17.00472679,47.04753722,69912.64031
Team Liquid,3/9/2024 22:56,-11.74736643,18.295444,27187.02978
100 Thieves,3/9/2024 23:51,14.57882373,44.62163416,66307.74836
Bilibili Gaming,3/10/2024 7:15,29.67913579,59.72194622,109052.2738
Bilibili Gaming,3/10/2024 8:00,24.8163015,54.85911193,100172.7384
Dplus KIA,3/10/2024 8:22,-9.205958508,20.83685192,39027.42365
Top Esports,3/10/2024 9:15,25.84428176,55.88709219,102049.8303
Dplus KIA,3/10/2024 9:24,23.2471304,53.28994083,99812.05917
Top Esports,3/10/2024 9:56,10.66949136,40.71230179,74340.66307
Dplus KIA,3/10/2024 10:15,7.749630352,37.79244078,70785.24158
Weibo Gaming,3/10/2024 11:19,-9.862554788,20.18025564,36849.1468
Vikings Esports,3/10/2024 11:47,12.35255419,42.39536462,35569.71092
Weibo Gaming,3/10/2024 12:09,-7.470845021,22.57196541,41216.40884
Vikings Esports,3/10/2024 12:47,-14.64091205,15.40189838,12922.19274
Vikings Esports,3/10/2024 13:57,35.36040396,65.40321439,54873.29687
Fnatic,3/10/2024 17:48,25.92122907,55.9640395,86296.54891
paiN Gaming,3/10/2024 19:25,-4.348833954,25.69397648,16289.98109
MAD Lions KOI,3/10/2024 19:28,-12.46660273,17.5762077,27102.51227
G2 Esports,3/10/2024 19:28,16.67006318,46.71287361,72031.25111
Team Liquid,3/10/2024 20:07,6.339588956,36.38239939,54064.24549
100 Thieves,3/10/2024 20:56,14.30770842,44.35051885,65904.87101
FlyQuest,3/10/2024 22:55,18.57025546,48.61306589,72239.01591
MAD Lions KOI,3/11/2024 17:35,-11.34507805,18.69773238,28831.90333
Fnatic,3/11/2024 18:19,-12.99982142,17.04298901,26280.28905
G2 Esports,3/11/2024 19:17,7.691058128,37.73386856,58185.62532
LNG Esports,3/12/2024 11:18,35.72750667,65.7703171,120096.599
LNG Esports,3/12/2024 12:13,-9.388116676,20.65469375,37715.47079
LNG Esports,3/12/2024 13:02,1.986917264,32.02972769,58486.28277
Hanwha Life Esports,3/13/2024 8:04,16.69806151,46.74087194,87545.65314
Hanwha Life Esports,3/13/2024 8:53,-7.628225448,22.41458498,41982.51767
Hanwha Life Esports,3/13/2024 9:55,39.19059816,69.23340859,129674.1743
Dplus KIA,3/13/2024 11:27,-11.54570156,18.49710887,34645.08491
T1,3/13/2024 11:27,18.29838204,48.34119247,90543.0535
Dplus KIA,3/13/2024 12:26,-3.027271589,27.01553884,50600.10425
T1,3/13/2024 12:26,18.71804079,48.76085122,91329.07434
Weibo Gaming,3/13/2024 12:32,-2.391877291,27.65093314,50490.60391
Weibo Gaming,3/13/2024 13:28,17.01240581,47.05521624,85922.82485
Weibo Gaming,3/13/2024 14:30,9.618594307,39.66140474,72421.72505
Bilibili Gaming,3/14/2024 7:16,5.849166006,35.89197644,65538.74897
Bilibili Gaming,3/14/2024 8:08,14.62144449,44.66425492,81556.92948
Top Esports,3/14/2024 11:15,10.03025823,40.07306866,73173.42337
Top Esports,3/14/2024 12:08,-7.310073037,22.73273739,41509.97848
Top Esports,3/14/2024 12:57,-16.11009712,13.93271331,25441.1345
Vikings Esports,3/14/2024 13:10,-9.0973129,20.94549753,17573.27243
Vikings Esports,3/14/2024 14:01,-9.232281473,20.81052896,17460.03379
100 Thieves,3/14/2024 20:08,-16.38872559,13.65408484,20289.97007
100 Thieves,3/14/2024 21:01,-15.85987605,14.18293438,21075.84049
100 Thieves,3/14/2024 21:48,-14.46542424,15.57738619,23147.99588
Gen.G,3/15/2024 8:05,12.85225042,42.89506085,80342.44897
Gen.G,3/15/2024 8:58,16.11055193,46.15336236,86445.2477
T1,3/15/2024 10:35,-8.779126318,21.26368411,39826.88034
Hanwha Life Esports,3/15/2024 10:35,16.02206879,46.06487922,86279.51878
T1,3/15/2024 11:26,23.5276879,53.57049833,100337.5434
Hanwha Life Esports,3/15/2024 11:26,-13.45279349,16.59001694,31073.10173
Hanwha Life Esports,3/15/2024 12:20,27.65909522,57.70190565,108075.6693
T1,3/15/2024 12:20,-12.4164395,17.62637093,33014.19275
FlyQuest,3/15/2024 20:07,27.31798011,57.36079054,85238.13474
Team Liquid,3/15/2024 20:07,-6.499019504,23.54379093,34986.07332
FlyQuest,3/15/2024 21:05,0.956938521,30.99974895,46065.62694
Team Liquid,3/15/2024 21:05,30.78570672,60.82851715,90391.17648
FlyQuest,3/15/2024 22:02,17.79992095,47.84273138,71094.29883
Team Liquid,3/15/2024 22:02,1.509979097,31.55278953,46887.44524
Team Liquid,3/15/2024 22:54,12.07447035,42.11728078,62586.27924
FlyQuest,3/15/2024 22:54,-7.495170705,22.54763973,33505.79263
FlyQuest,3/15/2024 23:43,24.76364576,54.80645619,81442.3939
Team Liquid,3/15/2024 23:43,-2.233787155,27.80902328,41324.20859
LNG Esports,3/16/2024 9:16,14.31448829,44.35729872,80996.42746
LNG Esports,3/16/2024 10:17,27.542221,57.58503143,105150.2674
Bilibili Gaming,3/16/2024 11:18,26.51405394,56.55686437,103272.8343
Weibo Gaming,3/16/2024 11:18,-17.63461943,12.408191,22657.35677
Weibo Gaming,3/16/2024 12:13,-18.10301261,11.93979782,21802.07082
Bilibili Gaming,3/16/2024 12:13,14.79974451,44.84255494,81882.50532
Fnatic,3/16/2024 17:04,22.17264418,52.21545461,80516.23101
G2 Esports,3/16/2024 17:48,16.36470681,46.40751724,71560.39158
MAD Lions KOI,3/16/2024 18:35,-4.282134353,25.76067608,39722.96251
paiN Gaming,3/16/2024 18:43,-13.03793294,17.00487749,10781.09233
100 Thieves,3/16/2024 20:07,-9.918643265,20.12416717,29904.51241
100 Thieves,3/16/2024 21:05,17.44775203,47.49056246,70570.97582
100 Thieves,3/16/2024 21:56,22.77920764,52.82201807,78493.51885
100 Thieves,3/16/2024 22:50,5.922220373,35.9650308,53444.03577
100 Thieves,3/16/2024 23:44,24.8988199,54.94163033,81643.26267
Dplus KIA,3/17/2024 9:54,20.83554757,50.878358,95295.16453
Gen.G,3/17/2024 9:54,-13.95153874,16.09127169,30138.95188
Gen.G,3/17/2024 10:49,11.39257485,41.43538528,77608.47663
Dplus KIA,3/17/2024 10:49,-10.13599684,19.90681359,37285.46185
Top Esports,3/17/2024 11:18,23.68599692,53.72880735,98108.80222
Dplus KIA,3/17/2024 11:49,0.832486638,30.87529707,57829.43141
Gen.G,3/17/2024 11:49,9.84706369,39.88987412,74713.73423
Top Esports,3/17/2024 12:08,18.19623623,48.23904666,88084.4992
MAD Lions KOI,3/17/2024 17:52,-14.79604123,15.2467692,23510.51811
Fnatic,3/17/2024 19:38,37.95080063,67.99361106,104846.1483
G2 Esports,3/17/2024 19:38,-21.03806246,9.00474797,13885.32137
paiN Gaming,3/17/2024 19:56,10.8691404,40.91195083,25938.17683
Team Liquid,3/17/2024 20:06,12.39595444,42.43876487,63064.0046
Team Liquid,3/17/2024 20:58,26.05433756,56.09714799,83360.36191
Team Liquid,3/17/2024 21:43,29.27081192,59.31362235,88140.04281
Fnatic,3/18/2024 16:58,11.69754969,41.74036012,64363.63531
G2 Esports,3/18/2024 17:44,18.53312937,48.5759398,74904.09917
MAD Lions KOI,3/18/2024 18:28,34.15402418,64.19683461,98991.51897
Weibo Gaming,3/19/2024 9:18,-14.38872344,15.65408699,28584.36284
Weibo Gaming,3/19/2024 10:06,16.04439351,46.08720394,84155.23439
Weibo Gaming,3/19/2024 10:55,-4.759519736,25.28329069,46167.28881
Movistar R7,3/19/2024 22:04,24.24015036,54.28296079,31646.96614
Movistar R7,3/19/2024 22:52,25.49285859,55.53566902,32377.29504
Movistar R7,3/19/2024 23:37,-6.833825861,23.20898457,13530.838
Movistar R7,3/20/2024 0:33,-16.57206827,13.47074216,7853.442679
Movistar R7,3/20/2024 1:22,-16.26706331,13.77574712,8031.260571
Gen.G,3/20/2024 8:06,12.4727713,42.51558173,79631.68458
Gen.G,3/20/2024 8:52,12.8326815,42.87549193,80305.79638
PSG Talon,3/20/2024 9:09,-15.71585342,14.32695701,12364.1639
LNG Esports,3/20/2024 9:17,19.9751527,50.01796313,91332.80068
PSG Talon,3/20/2024 10:03,28.77161074,58.81442117,50756.84547
LNG Esports,3/20/2024 10:07,19.12287998,49.16569041,89776.55069
T1,3/20/2024 10:35,25.6582178,55.70102823,104328.0259
PSG Talon,3/20/2024 10:53,26.87867974,56.92149017,49123.24602
Bilibili Gaming,3/20/2024 11:17,14.962246,45.00505643,82179.23304
T1,3/20/2024 11:21,12.14583211,42.18864254,79019.32748
PSG Talon,3/20/2024 11:44,36.02543411,66.06824454,57016.89504
Bilibili Gaming,3/20/2024 12:02,-20.00709677,10.03571366,18325.21314
Bilibili Gaming,3/20/2024 12:55,17.94126648,47.98407691,87618.92444
Hanwha Life Esports,3/21/2024 8:05,-11.61235967,18.43045076,34520.23427
Hanwha Life Esports,3/21/2024 9:07,28.48536976,58.52818019,109623.2815
Hanwha Life Esports,3/21/2024 9:59,35.99690226,66.03971269,123692.3819
Dplus KIA,3/21/2024 11:32,-0.565172162,29.47763827,55211.61648
Dplus KIA,3/21/2024 12:33,-9.784071958,20.25873847,37944.61716
Gen.G,3/22/2024 8:05,26.67175011,56.71456054,106226.3719
Gen.G,3/22/2024 8:54,29.30645365,59.34926408,111161.1716
Top Esports,3/22/2024 9:35,17.66993669,47.71274712,87123.47624
Top Esports,3/22/2024 10:25,5.922549219,35.96535965,65672.74672
Weibo Gaming,3/22/2024 11:19,9.604785618,39.64759605,72396.51038
Weibo Gaming,3/22/2024 12:21,13.64948453,43.69229496,79782.1306
Fnatic,3/22/2024 16:50,-17.33363825,12.70917218,19597.5435
G2 Esports,3/22/2024 17:44,18.25712188,48.29993231,74478.49562
MAD Lions KOI,3/22/2024 18:29,-19.26296747,10.77984296,16622.51784
100 Thieves,3/22/2024 20:08,-20.15803167,9.88477876,14688.78124
Team Liquid,3/22/2024 20:08,33.19378153,63.23659196,93969.57565
100 Thieves,3/22/2024 20:51,35.84111355,65.88392398,97903.51103
Team Liquid,3/22/2024 20:51,-7.865206742,22.17760369,32955.91908
paiN Gaming,3/22/2024 21:18,12.08264006,42.12545049,26707.53561
Team Liquid,3/22/2024 21:46,28.6439573,58.68676773,87208.53685
100 Thieves,3/22/2024 21:46,0.362340139,30.40515057,45182.05375
paiN Gaming,3/22/2024 22:24,-12.62284872,17.41996171,11044.25572
100 Thieves,3/22/2024 22:49,-15.06074961,14.98206082,22263.34238
Team Liquid,3/22/2024 22:49,28.63009736,58.67290779,87187.94098
paiN Gaming,3/22/2024 23:16,7.797659615,37.84047005,23990.85801
paiN Gaming,3/23/2024 0:15,-0.181362315,29.86144812,18932.1581
Hanwha Life Esports,3/23/2024 6:08,24.38586132,54.42867175,101944.9022
Dplus KIA,3/23/2024 6:08,-12.27520623,17.7676042,33278.72267
Dplus KIA,3/23/2024 7:03,-14.14749365,15.89531678,29771.92833
Hanwha Life Esports,3/23/2024 7:03,31.79914188,61.84195231,115829.9767
T1,3/23/2024 8:46,17.96233487,48.0051453,89913.63715
LNG Esports,3/23/2024 9:18,30.21971963,60.26253006,110039.3799
T1,3/23/2024 9:32,12.30147884,42.34428927,79310.8538
LNG Esports,3/23/2024 10:07,22.67676926,52.71957969,96265.95251
Bilibili Gaming,3/23/2024 11:17,24.17496238,54.21777281,99001.65315
Bilibili Gaming,3/23/2024 12:10,13.18006081,43.22287124,78924.96288
Fnatic,3/23/2024 16:05,18.74086391,48.78367434,75224.42583
MAD Lions KOI,3/23/2024 17:55,20.16561278,50.20842321,77421.38859
G2 Esports,3/23/2024 18:42,-12.89755332,17.14525711,26437.98646
FlyQuest,3/23/2024 20:10,19.98217388,50.02498431,74337.12668
FlyQuest,3/23/2024 21:07,13.72127334,43.76408377,65033.42848
FlyQuest,3/23/2024 21:55,18.72186276,48.76467319,72464.30436
Fukuoka SoftBank HAWKS gaming,3/24/2024 9:07,-17.73256324,12.31024719,10623.74332
PSG Talon,3/24/2024 9:07,29.48105499,59.52386542,51369.09586
Top Esports,3/24/2024 9:27,-12.53883041,17.50398002,31962.26752
Fukuoka SoftBank HAWKS gaming,3/24/2024 10:04,16.82495846,46.86776889,40446.88455
PSG Talon,3/24/2024 10:04,-8.658376476,21.38443395,18454.7665
Top Esports,3/24/2024 10:33,9.459305036,39.50211547,72130.86284
PSG Talon,3/24/2024 11:03,13.13819462,43.18100505,37265.20736
Fukuoka SoftBank HAWKS gaming,3/24/2024 11:03,-10.28658995,19.75622048,17049.61827
Top Esports,3/24/2024 11:26,6.30944628,36.35225671,66379.22075
Fukuoka SoftBank HAWKS gaming,3/24/2024 11:53,25.91128032,55.95409075,48288.38032
PSG Talon,3/24/2024 11:53,-13.49653721,16.54627322,14279.43379
PSG Talon,3/24/2024 12:51,22.28608681,52.32889724,45159.83832
Fukuoka SoftBank HAWKS gaming,3/24/2024 12:51,-1.066522439,28.97628799,25006.53654
Fnatic,3/25/2024 17:46,-17.92972756,12.11308287,18678.37379
MAD Lions KOI,3/25/2024 17:46,32.54253821,62.58534864,96506.6076
G2 Esports,3/25/2024 18:27,-13.76854469,16.27426574,25094.91777
Weibo Gaming,3/26/2024 9:17,15.26883552,45.31164595,82739.0655
Weibo Gaming,3/26/2024 10:25,19.80490054,49.84771097,91021.92023
Movistar R7,3/26/2024 22:08,-16.31839495,13.72441548,8001.334225
Movistar R7,3/26/2024 23:08,34.73326647,64.7760769,37764.45283
Movistar R7,3/27/2024 0:03,-18.42515266,11.61765777,6773.09448
Movistar R7,3/27/2024 0:49,25.76754113,55.81035156,32537.43496
Movistar R7,3/27/2024 1:37,24.46899686,54.51180729,31780.38365
LNG Esports,3/27/2024 9:16,-10.81060503,19.2322054,35118.00706
LNG Esports,3/27/2024 10:10,13.970832,44.01364243,80368.91108
LNG Esports,3/27/2024 11:05,23.9589746,54.00178503,98607.25946
Top Esports,3/27/2024 11:17,9.488545419,39.53135585,72184.25578
Top Esports,3/27/2024 12:07,3.474185558,33.51699599,61202.03467
Fukuoka SoftBank HAWKS gaming,3/28/2024 9:04,29.4548381,59.49764853,51346.47068
Fukuoka SoftBank HAWKS gaming,3/28/2024 9:51,-15.08350365,14.95930678,12909.88175
Fukuoka SoftBank HAWKS gaming,3/28/2024 10:47,21.56621003,51.60902046,44538.58466
Fukuoka SoftBank HAWKS gaming,3/28/2024 11:39,-15.90957706,14.13323337,12196.9804
Fukuoka SoftBank HAWKS gaming,3/28/2024 12:30,40.26075055,70.30356098,60671.97313
Hanwha Life Esports,3/30/2024 6:10,32.61883638,62.66164681,117365.2645
Hanwha Life Esports,3/30/2024 7:09,18.03873084,48.08154127,90056.7268
Hanwha Life Esports,3/30/2024 8:01,34.97266403,65.01547446,121773.9837
PSG Talon,3/30/2024 9:06,24.07691096,54.11972139,46705.31956
PSG Talon,3/30/2024 9:55,27.98614106,58.02895149,50078.98514
PSG Talon,3/30/2024 10:52,26.1355637,56.17837413,48481.93687
paiN Gaming,3/30/2024 16:21,18.92058508,48.96339551,31042.79275
paiN Gaming,3/30/2024 17:19,22.03289782,52.07570825,33015.99903
paiN Gaming,3/30/2024 18:12,-9.884103209,20.15870722,12780.62038
Fnatic,3/30/2024 18:48,17.54031532,47.58312575,73373.17991
paiN Gaming,3/30/2024 19:10,-2.018104815,28.02470562,17767.66336
Fnatic,3/30/2024 19:34,16.29184617,46.3346566,71448.04048
paiN Gaming,3/30/2024 20:20,25.0301245,55.07293493,34916.24075
Team Liquid,3/30/2024 20:22,4.436759935,34.47957037,51236.64156
Team Liquid,3/30/2024 21:13,20.61059593,50.65340636,75270.96185
Team Liquid,3/30/2024 22:05,12.35106884,42.39387927,62997.3046
Dplus KIA,3/31/2024 6:08,10.85516192,40.89797235,76601.90221
Dplus KIA,3/31/2024 7:10,-9.300977118,20.74183331,38849.45379
Dplus KIA,3/31/2024 8:14,-13.93208711,16.11072332,30175.38478
Fukuoka SoftBank HAWKS gaming,3/31/2024 9:09,22.87407174,52.91688217,45667.26931
Dplus KIA,3/31/2024 9:17,20.53844465,50.58125508,94738.69076
Dplus KIA,3/31/2024 10:04,21.94498121,51.98779164,97373.13374
Fukuoka SoftBank HAWKS gaming,3/31/2024 10:12,-5.773196567,24.26961386,20944.67676
Fukuoka SoftBank HAWKS gaming,3/31/2024 11:14,-1.461140599,28.58166983,24665.98106
Fukuoka SoftBank HAWKS gaming,3/31/2024 12:12,27.3664536,57.40926403,49544.19486
Fukuoka SoftBank HAWKS gaming,3/31/2024 13:10,23.04152714,53.08433757,45811.78332
G2 Esports,3/31/2024 16:51,14.67777076,44.72058119,68959.13619
MAD Lions KOI,3/31/2024 16:51,-5.353606915,24.68920352,38070.75182
MAD Lions KOI,3/31/2024 17:37,-0.410517933,29.6322925,45692.99503
G2 Esports,3/31/2024 17:37,10.51078448,40.55359491,62533.64335
FlyQuest,3/31/2024 20:17,-21.23858363,8.8042268,13083.08102
Team Liquid,3/31/2024 20:17,33.43343058,63.47624101,94325.69414
FlyQuest,3/31/2024 21:03,16.74778895,46.79059938,69530.83068
Team Liquid,3/31/2024 21:03,-7.10289508,22.93991535,34088.71421
Team Liquid,3/31/2024 21:53,12.9672549,43.01006533,63912.95708
FlyQuest,3/31/2024 21:53,-9.304830868,20.73797956,30816.63763
FlyQuest,3/31/2024 22:47,-14.71420627,15.32860416,22778.30578
Team Liquid,3/31/2024 22:47,29.14246949,59.18527992,87949.32596
Weibo Gaming,4/1/2024 10:23,20.89417975,50.93699018,93010.94407
Weibo Gaming,4/1/2024 11:13,32.71434749,62.75715792,114594.5704
Weibo Gaming,4/1/2024 12:07,-13.17479522,16.86801521,30800.99577
Weibo Gaming,4/1/2024 13:00,-13.13266223,16.9101482,30877.93061
Weibo Gaming,4/1/2024 14:17,12.1791371,42.22194753,77097.27619
Fnatic,4/1/2024 17:42,-23.23145306,6.81135737,10503.11306
G2 Esports,4/1/2024 17:42,33.64414255,63.68695298,98205.2815
G2 Esports,4/1/2024 18:25,16.03743877,46.0802492,71055.74427
Fnatic,4/1/2024 18:25,-9.715214388,20.32759604,31345.1531
MAD Lions KOI,4/2/2024 17:38,-15.06646901,14.97634142,23093.51847
MAD Lions KOI,4/2/2024 18:28,19.31949894,49.36230937,76116.68105
MAD Lions KOI,4/2/2024 19:14,26.10276777,56.1455782,86576.48158
Gen.G,4/3/2024 8:12,12.37828868,42.42109911,79454.71863
Dplus KIA,4/3/2024 8:12,-6.14608994,23.89672049,44758.55748
Dplus KIA,4/3/2024 9:05,20.06656587,50.1093763,93854.86181
Gen.G,4/3/2024 9:05,-13.05216989,16.99064054,31823.46973
Gen.G,4/3/2024 10:02,7.825719162,37.86852959,70927.75593
Dplus KIA,4/3/2024 10:02,-4.920617875,25.12219256,47053.86666
Vikings Esports,4/3/2024 10:05,17.5683897,47.61120013,39945.79691
GAM Esports,4/3/2024 10:05,-8.362341136,21.68046929,18189.91374
LNG Esports,4/3/2024 10:19,-19.67566986,10.36714057,18930.39868
Weibo Gaming,4/3/2024 10:19,28.36025057,58.403061,106643.9894
Dplus KIA,4/3/2024 10:56,-2.081388309,27.96142212,52371.74363
Gen.G,4/3/2024 10:56,-0.810492632,29.2323178,54752.13124
Vikings Esports,4/3/2024 10:57,13.01685188,43.05966231,36127.05668
GAM Esports,4/3/2024 10:57,-13.20841339,16.83439704,14124.05912
LNG Esports,4/3/2024 11:18,-16.54275785,13.50005258,24651.09601
Weibo Gaming,4/3/2024 11:18,18.53236752,48.57517795,88698.27494
Gen.G,4/3/2024 11:57,21.61398469,51.65679512,96753.17726
Dplus KIA,4/3/2024 11:57,-2.645301952,27.39750848,51315.53338
LNG Esports,4/3/2024 12:14,7.392693222,37.43550365,68357.22967
Weibo Gaming,4/3/2024 12:14,-7.738509677,22.30430075,40727.65317
Weibo Gaming,4/3/2024 13:04,-18.77646092,11.26634951,20572.35421
LNG Esports,4/3/2024 13:04,32.95872673,63.00153716,115040.8069
LNG Esports,4/3/2024 13:57,-8.030277996,22.01253243,40194.88422
Weibo Gaming,4/3/2024 13:57,13.31838295,43.36119338,79177.53911
