Team,Date,Score,Score adjusted,Score with region multiplier
Bilibili Gaming,1/26/2024 11:33,23.68795795,53.73076838,98112.38306
Vikings Esports,1/26/2024 11:57,1.577721286,31.62053172,26529.62611
Bilibili Gaming,1/26/2024 12:25,14.97183351,45.01464394,82196.73983
Vikings Esports,1/26/2024 12:53,15.0807594,45.12356983,37858.67509
Gen.G,1/27/2024 6:08,-12.01242522,18.03038521,33770.9115
Dplus KIA,1/27/2024 6:08,18.69074308,48.73355351,91277.94572
Gen.G,1/27/2024 7:09,6.680565167,36.7233756,68782.88249
Dplus KIA,1/27/2024 7:09,-4.718393837,25.32441659,47432.63228
Dplus KIA,1/27/2024 8:14,-13.28594264,16.75686779,31385.61337
Gen.G,1/27/2024 8:14,16.95876463,47.00157506,88033.95009
Fukuoka SoftBank HAWKS gaming,1/27/2024 8:16,21.4392643,51.48207473,44429.03049
Fukuoka SoftBank HAWKS gaming,1/27/2024 9:05,18.78723233,48.83004276,42140.3269
PSG Talon,1/27/2024 9:10,-15.53736772,14.50544271,12518.19706
PSG Talon,1/27/2024 10:10,15.21637018,45.25918061,39058.67287
PSG Talon,1/27/2024 11:11,-9.727940441,20.31486999,17531.7328
Top Esports,1/27/2024 12:49,21.238987,51.28179743,93640.56211
Top Esports,1/27/2024 13:38,23.73575074,53.77856117,98199.6527
paiN Gaming,1/27/2024 18:03,22.28155699,52.32436742,33173.64894
MAD Lions KOI,1/27/2024 18:04,21.49192668,51.53473711,79466.56462
Fnatic,1/27/2024 18:04,0.689142643,30.73195307,47388.67164
G2 Esports,1/27/2024 19:09,5.305437096,35.34824753,54506.99769
100 Thieves,1/27/2024 21:14,-8.065015709,21.97779472,32659.00296
FlyQuest,1/27/2024 22:29,12.74038293,42.78319336,63575.82533
Team Liquid,1/27/2024 22:29,-16.92705819,13.11575224,19490.00783
Weibo Gaming,1/28/2024 7:19,4.912807809,34.95561824,63828.9589
Weibo Gaming,1/28/2024 8:28,22.0259104,52.06872083,95077.48424
Hanwha Life Esports,1/28/2024 9:43,-7.829854689,22.21295574,41604.8661
