Team,Date,Result,Laner,Top score,Laner,Jng score,Laner,Mid score,Laner,Bot score,Laner,Sup score,Sum Score
Hanwha Life Esports,2/21/2024 12:54,1,Doran,-1.531020896,Peanut,4.945025243,Zeka,4.884731012,Viper,3.900433742,Delight,3.426328093,15.62549719
Movistar R7,2/21/2024 23:55,1,Summit,1.132213335,Oddie,8.502052336,Lava,7.139049618,Ceo,5.684178494,Lyonz,6.972493903,29.42998769
Movistar R7,2/22/2024 0:42,1,Summit,2.637696498,Oddie,3.273738588,Lava,6.727053352,Ceo,4.009094183,Lyonz,10.01764145,26.66522407
Dplus KIA,2/22/2024 8:06,1,Kingen,5.887038356,Lucid,5.178870691,ShowMaker,1.51887135,Aiming,8.418966807,Kellin,4.726750584,25.73049779
Dplus KIA,2/22/2024 9:03,1,Kingen,4.992642652,Lucid,5.064136368,ShowMaker,6.924670321,Aiming,7.181386044,Kellin,5.721607755,29.88444314
Vikings Esports,2/22/2024 10:06,1,Kratos,1.320052235,Gury,3.220177698,Kati,-1.127187834,Shogun,0.365459208,Kairi,2.309788169,6.088289476
Gen.G,2/22/2024 10:35,1,Kiin,2.69433193,Canyon,3.302932111,Chovy,4.653941871,Peyz,6.753201652,Lehends,2.720196175,20.12460374
Vikings Esports,2/22/2024 10:57,1,Kratos,2.35356823,Gury,5.448146432,Kati,3.571889761,Shogun,6.489093289,Kairi,9.389738448,27.25243616
Gen.G,2/22/2024 11:24,1,Kiin,5.23028253,Canyon,4.616035999,Chovy,4.456844163,Peyz,6.033939948,Lehends,5.972109681,26.30921232
GAM Esports,2/23/2024 10:11,0,Kiaya,1.773139857,Levi,0.016989943,Blazes,-0.10607393,Pyshiro,1.249121722,Elio,4.597292189,7.530469781
GAM Esports,2/23/2024 11:09,0,Kiaya,-3.472480606,Levi,-3.13342985,Blazes,-4.984151225,Pyshiro,-3.172463906,Elio,0.556102267,-14.20642332
LNG Esports,2/23/2024 11:18,0,Zika,-0.682491687,Weiwei,-6.253646649,Scout,-2.083176998,GALA,-4.093952469,Hang,-0.548810757,-13.66207856
Top Esports,2/23/2024 11:18,1,369,1.156665842,Tian,4.624587055,Creme,0.958965493,JackeyLove,0.739730399,Meiko,3.28350033,10.76344912
Hanwha Life Esports,2/23/2024 11:49,1,Doran,3.508009951,Peanut,2.281567417,Zeka,5.551393815,Viper,4.331415497,Delight,5.208740759,20.88112744
Top Esports,2/23/2024 12:06,1,369,6.4815198,Tian,5.951623319,Creme,3.215831334,JackeyLove,3.126603102,Meiko,5.216672777,23.99225033
LNG Esports,2/23/2024 12:06,0,Zika,-4.535652086,Weiwei,-6.387706625,Scout,-2.148491463,GALA,-2.590663948,Hang,-3.113032715,-18.77554684
Hanwha Life Esports,2/23/2024 12:37,1,Doran,4.056409801,Peanut,7.520887325,Zeka,6.703832482,Viper,5.289307869,Delight,4.60380128,28.17423876
T1,2/24/2024 6:06,1,Zeus,6.112046749,Oner,3.075067524,Faker,2.495782784,Gumayusi,3.926513553,Keria,4.411076953,20.02048756
T1,2/24/2024 7:00,1,Zeus,3.146445324,Oner,4.124054274,Faker,4.189106135,Gumayusi,4.71754157,Keria,2.558854999,18.7360023
Gen.G,2/24/2024 8:41,1,Kiin,4.639027612,Canyon,5.676576988,Chovy,4.04526736,Peyz,3.945122338,Lehends,3.436415771,21.74241007
