rank,player,teamname,score,percentile,games_played,champion_pool,champion
11,Scout,LNG Esports,617.86,58.3,90,17,"['Orianna', 'Azir', 'Neeko', 'Corki', 'Azir', 'Akali', 'Tristana', 'Azir', 'Azir', 'Taliyah', 'Azir', 'Corki', 'Orianna', 'Azir', 'Tristana', 'Karma', 'Orianna', 'Hwei', 'Hwei', 'Taliyah', 'Neeko', 'Hwei', 'Taliyah', 'Tristana', 'Orianna', 'Karma', 'Neeko', 'Hwei', 'Karma', 'Ahri', 'Tristana', 'Ahri', 'Taliyah', 'Ahri', 'Jayce', 'Karma', 'Ahri', 'Hwei', 'Ahri', 'Jayce', 'Ahri', 'Azir', 'Azir', 'Tristana', 'Twisted Fate', 'Tristana', 'Taliyah', 'LeBlanc', 'Corki', 'Taliyah', 'Corki', 'Taliyah', 'Twisted Fate', 'Malzahar', 'Corki', 'Jayce', 'Corki', 'LeBlanc', 'Yone', 'Azir', 'Corki', 'Yone', 'Corki', 'Corki', 'Corki', 'Tristana', 'Yone', 'Yone', 'Yone', 'Lucian', 'Azir', 'Tristana', 'Lucian', 'Lucian', 'Yone', 'Yone', 'Azir', 'Lucian', 'Azir', 'Yone', 'Tristana', 'Azir', 'Lucian', 'Lucian', 'Yone', 'Corki', 'Zeri', 'Tristana', 'Azir', 'Corki']"
12,Fresskowy,MAD Lions KOI,592.14,54.2,75,18,"['LeBlanc', 'Gragas', 'Neeko', 'Neeko', 'Corki', 'Akali', 'Azir', 'Neeko', 'Azir', 'Akali', 'Ezreal', 'Karma', 'Tristana', 'Taliyah', ""Kai'Sa"", 'Karma', 'Tristana', 'Gragas', 'Karma', 'Azir', 'Taliyah', 'Azir', 'Akali', 'Karma', 'Azir', 'Orianna', 'Azir', 'Taliyah', 'Taliyah', 'Taliyah', 'Orianna', 'LeBlanc', 'Orianna', 'Neeko', 'Ahri', 'Ahri', 'Annie', 'Ahri', 'Ahri', 'Azir', 'Azir', 'Ahri', 'Ahri', 'Azir', 'Azir', 'Azir', 'LeBlanc', 'Taliyah', 'Corki', 'Azir', 'Corki', 'Corki', 'Corki', 'Taliyah', 'Tristana', 'Taliyah', 'Tristana', 'Tristana', 'Tristana', 'Corki', 'Yone', 'Ezreal', 'Vex', 'Galio', 'Zeri', 'Ahri', 'Ezreal', 'Zeri', 'Tristana', 'LeBlanc', 'Tristana', 'Corki', 'Ezreal', 'Yone', 'Yone']"
13,Emo,GAM Esports,587.35,50.0,60,12,"['Hwei', 'Tristana', 'Tristana', 'Taliyah', 'Ahri', 'Akali', 'Neeko', 'Akali', 'Neeko', 'Akali', 'Taliyah', 'Neeko', 'Taliyah', 'Taliyah', 'Tristana', 'Tristana', 'Taliyah', 'Ahri', 'Akali', 'Taliyah', 'Orianna', 'Tristana', 'Corki', 'Corki', 'Lucian', 'Aatrox', 'Tristana', 'Tristana', 'Taliyah', 'Tristana', 'Tristana', 'Corki', 'Lucian', 'Corki', 'Taliyah', 'Corki', 'Tristana', 'Lucian', 'Yone', 'Yone', 'Yone', 'Yone', 'Orianna', 'Corki', 'Corki', 'Tristana', 'Tristana', 'Corki', 'Lucian', 'Corki', 'Ahri', 'Corki', 'Zeri', 'Corki', 'Corki', 'Orianna', 'Lucian', 'Zeri', 'Zeri', 'Ahri']"
14,Humanoid,Fnatic,579.74,45.8,101,18,"['Akali', 'Azir', 'Azir', 'Orianna', 'Orianna', 'Hwei', 'Corki', 'Corki', 'Corki', 'Tristana', 'Corki', 'Azir', 'Orianna', 'Azir', 'Hwei', 'Karma', 'Corki', 'Orianna', 'Karma', 'Hwei', 'Hwei', 'Tristana', 'Taliyah', 'Orianna', 'Ahri', 'Ahri', 'Taliyah', 'Karma', 'Karma', 'Karma', 'Taliyah', 'Azir', 'Azir', 'Orianna', 'Corki', 'Orianna', 'Taliyah', 'Aurelion Sol', 'Diana', 'Azir', 'Ahri', 'Azir', 'Azir', 'Azir', 'Taliyah', 'Aurelion Sol', 'Azir', 'Azir', 'Aurelion Sol', 'Aurelion Sol', 'Azir', 'Hwei', 'Taliyah', 'LeBlanc', 'LeBlanc', 'Taliyah', 'Orianna', 'Ahri', 'Taliyah', 'Orianna', 'LeBlanc', 'Orianna', 'Azir', 'Hwei', 'Orianna', 'Hwei', 'Hwei', 'Galio', 'LeBlanc', 'Hwei', 'Taliyah', 'Taliyah', 'Varus', 'Corki', 'Kassadin', 'Hwei', 'Taliyah', 'Taliyah', 'Corki', 'Tristana', 'Taliyah', 'Lucian', 'Azir', 'Azir', 'Lucian', 'Corki', 'Lucian', 'Lucian', 'Lucian', 'Yone', 'Azir', 'Yone', 'Corki', 'Corki', 'Taliyah', 'Tristana', 'Corki', 'Smolder', 'Smolder', 'Corki', 'Corki']"
15,Maple,PSG Talon,579.68,41.7,84,17,"['Azir', 'Neeko', 'Tristana', 'Orianna', 'Akali', 'Azir', 'Twisted Fate', 'Corki', 'Taliyah', 'Azir', 'Orianna', 'Hwei', 'Twisted Fate', 'Twisted Fate', 'Taliyah', 'Hwei', 'Hwei', 'Hwei', 'Azir', 'Aurelion Sol', 'Taliyah', 'Taliyah', 'Ahri', 'Ahri', 'Ahri', 'Ahri', 'Ahri', 'Tristana', 'Karma', 'Hwei', 'Neeko', 'Tristana', 'Akali', 'Taliyah', 'Ahri', 'Karma', 'Taliyah', 'Azir', 'Azir', 'Karma', 'Taliyah', 'Ahri', 'Azir', 'Aurelion Sol', 'Taliyah', 'Aurelion Sol', 'Neeko', 'Taliyah', 'Azir', 'Taliyah', 'Taliyah', 'Aurelion Sol', 'Tristana', 'Tristana', 'Hwei', 'Tristana', 'Corki', 'Corki', 'Yone', 'LeBlanc', 'Corki', 'Ezreal', 'Tristana', 'Tristana', 'Tristana', 'Tristana', 'Tristana', 'Lucian', 'Lucian', 'Corki', 'Lucian', 'Lucian', 'Zeri', 'Corki', 'Tristana', 'Lucian', 'Lucian', 'Zeri', 'Zeri', 'Zeri', 'Corki', 'Corki', 'Corki', 'Corki']"
16,Blazes,GAM Esports,576.8,37.5,26,8,"['Yone', 'Azir', 'Tristana', 'Tristana', 'Tristana', 'Azir', 'Tristana', 'Orianna', 'Azir', 'Orianna', 'Orianna', 'Azir', 'Azir', 'Orianna', 'Karma', 'Hwei', 'Karma', 'Karma', 'Tristana', 'Tristana', 'Orianna', 'Taliyah', 'Taliyah', 'Karma', 'Hwei', 'Jayce']"
17,Xiaohu,Weibo Gaming,550.46,33.3,107,16,"['Taliyah', 'Taliyah', 'Neeko', 'Azir', 'Orianna', 'Orianna', 'Corki', 'LeBlanc', 'Orianna', 'LeBlanc', 'Neeko', 'Orianna', 'Karma', 'Karma', 'Karma', 'Taliyah', 'Tristana', 'Neeko', 'Orianna', 'Azir', 'Azir', 'Karma', 'Ahri', 'Corki', 'Ahri', 'Karma', 'Karma', 'Ahri', 'Ahri', 'Orianna', 'Annie', 'Taliyah', 'Tristana', 'Taliyah', 'Tristana', 'Karma', 'Taliyah', 'Tristana', 'LeBlanc', 'Taliyah', 'Azir', 'Tristana', 'LeBlanc', 'Tristana', 'Taliyah', 'Karma', 'Taliyah', 'Azir', 'Taliyah', 'Taliyah', 'Ahri', 'LeBlanc', 'Hwei', 'Taliyah', 'Azir', 'LeBlanc', 'Taliyah', 'Tristana', 'Corki', 'Yone', 'Corki', 'Azir', 'Taliyah', 'Jayce', 'Yone', 'Corki', 'Ahri', 'Tristana', 'Corki', 'Corki', 'Tristana', 'Tristana', 'Lucian', 'Corki', 'Lucian', 'Yone', 'Yone', 'Corki', 'Lucian', 'Yone', 'Twisted Fate', 'Twisted Fate', 'Yone', 'Tristana', 'Tristana', 'Corki', 'Lucian', 'Zeri', 'Tristana', 'Zeri', 'Zeri', 'Zeri', 'Zeri', 'Tristana', 'Yone', 'Corki', 'Zeri', 'Lucian', 'Zeri', 'Zeri', 'Tristana', 'Corki', 'Tristana', 'Lucian', 'Zeri', 'Corki', 'Corki']"
18,Kati,Vikings Esports,499.4,29.2,79,19,"['Syndra', 'LeBlanc', 'LeBlanc', 'Tristana', 'Orianna', 'Neeko', 'Viktor', 'Taliyah', 'Syndra', 'Azir', 'Hwei', 'Orianna', 'Tristana', 'Taliyah', 'Azir', 'Viktor', 'Azir', 'Taliyah', 'Azir', 'Tristana', 'Karma', 'Karma', 'Taliyah', 'Orianna', 'Orianna', 'Taliyah', 'Neeko', 'Taliyah', 'Orianna', 'Taliyah', 'Taliyah', 'Tristana', 'Tristana', 'Orianna', 'Taliyah', 'Ahri', 'Orianna', 'Hwei', 'Corki', 'Hwei', 'Corki', 'Corki', 'Taliyah', 'Tristana', 'Lee Sin', 'Sivir', 'Hwei', 'Corki', 'Corki', 'Corki', 'Corki', 'Tristana', 'Corki', 'Lucian', 'Lucian', 'Caitlyn', 'Draven', 'Draven', 'Corki', 'Corki', 'Corki', 'Corki', 'Corki', 'Zeri', 'Corki', 'Zeri', 'Tristana', 'Zeri', 'Corki', 'Zeri', 'Lucian', 'Zeri', 'Zeri', 'Corki', 'Smolder', 'Corki', 'Corki', 'Corki', 'Smolder']"
19,Keine,Movistar R7,458.46,25.0,31,8,"['Tristana', 'LeBlanc', 'Hwei', 'Corki', 'Corki', 'Corki', 'Corki', 'Hwei', 'Tristana', 'Corki', 'Tristana', 'Yone', 'Tristana', 'Tristana', 'Tristana', 'LeBlanc', 'Azir', 'Ezreal', 'Tristana', 'LeBlanc', 'Lucian', 'Corki', 'Tristana', 'Lucian', 'Tristana', 'Corki', 'Tristana', 'Lucian', 'Corki', 'Lucian', 'Corki']"
20,Quid,100 Thieves,457.05,20.8,60,22,"['Yone', 'Neeko', 'Akali', 'Azir', 'Sylas', 'Orianna', 'Aatrox', 'Taliyah', 'Taliyah', 'Hwei', 'Karma', 'Ahri', 'Yone', 'Veigar', 'Hwei', 'Ahri', 'Yasuo', 'Taliyah', 'Veigar', 'Akali', 'Ahri', 'Ahri', 'Jayce', 'Taliyah', 'Veigar', 'Yone', 'Ezreal', 'Tristana', 'Yone', 'Taliyah', 'Ezreal', 'Ezreal', 'Azir', 'Corki', 'Zeri', 'Zeri', 'Zeri', 'Lucian', 'Yone', 'Yasuo', 'Yone', 'Aurora', 'Azir', 'Smolder', 'Zeri', 'Smolder', 'Smolder', 'Zeri', 'Sylas', 'Yone', 'Azir', 'Yone', 'Yasuo', 'Corki', 'Garen', 'Zeri', 'Yone', 'Azir', 'Zeri', 'Yasuo']"
21,dyNquedo,paiN Gaming,426.71,16.7,68,13,"['Azir', 'Orianna', 'Orianna', 'Orianna', 'Azir', 'Taliyah', 'Orianna', 'Taliyah', 'Hwei', 'Hwei', 'Azir', 'Azir', 'Hwei', 'Hwei', 'Karma', 'Hwei', 'Ahri', 'Ahri', 'Ahri', 'Ahri', 'Ahri', 'Ahri', 'Aurelion Sol', 'Taliyah', 'Hwei', 'Karma', 'Karma', 'Azir', 'Ahri', 'Karma', 'Aurelion Sol', 'Azir', 'Azir', 'Azir', 'Ahri', 'Aurelion Sol', 'Taliyah', 'Aurelion Sol', 'Taliyah', 'Hwei', 'Hwei', 'Hwei', 'Aurelion Sol', 'Ahri', 'Azir', 'Corki', 'Tristana', 'Corki', 'Ezreal', 'Corki', 'Corki', 'Corki', 'Azir', 'Yone', 'Corki', 'Lucian', 'Corki', 'Corki', 'Lucian', 'Corki', 'Corki', 'Corki', 'Tristana', 'Tristana', 'Smolder', 'Smolder', 'Smolder', 'Corki']"
22,APA,Team Liquid,426.12,12.5,78,12,"['Ziggs', 'Azir', 'Tristana', 'Tristana', 'Azir', 'Azir', 'Ziggs', 'Orianna', 'Aurelion Sol', 'Azir', 'Taliyah', 'Aurelion Sol', 'Taliyah', 'Ziggs', 'Ahri', 'Ziggs', 'Neeko', 'Ziggs', 'Ahri', 'Aurelion Sol', 'Ahri', 'Ziggs', 'Taliyah', 'Ziggs', 'Taliyah', 'Aurelion Sol', 'Ziggs', 'Tristana', 'Ziggs', 'Taliyah', 'Taliyah', 'Aurelion Sol', 'Taliyah', 'Tristana', 'Aurelion Sol', 'Aurelion Sol', 'Taliyah', 'Ahri', 'Aurelion Sol', 'Tristana', 'Aurelion Sol', 'Taliyah', 'Taliyah', 'Ziggs', 'Corki', 'Tristana', 'Corki', 'Tristana', 'Corki', 'Corki', 'Ziggs', 'Ziggs', 'Taliyah', 'Ziggs', 'Corki', 'Tristana', 'Cassiopeia', 'Ziggs', 'Ziggs', 'Tristana', 'Lucian', 'Corki', 'Corki', 'Corki', 'Corki', 'Corki', 'Taliyah', 'Taliyah', 'Ziggs', 'Corki', 'Corki', 'Corki', 'Corki', 'Corki', 'Corki', 'Nasus', 'Tristana', 'Tristana']"
23,Lava,Movistar R7,411.72,8.3,39,14,"['Akali', 'Azir', 'Orianna', 'Neeko', 'Taliyah', 'Tristana', 'Tristana', 'Corki', 'Jayce', 'Taliyah', 'Corki', 'Neeko', 'Tristana', 'Taliyah', 'Tristana', 'Taliyah', 'Tristana', 'Taliyah', 'Twisted Fate', 'Yone', 'Hwei', 'Sion', 'Taliyah', 'Twisted Fate', 'Ahri', 'Tristana', 'Corki', 'Jayce', 'Ahri', 'Annie', 'Taliyah', 'Corki', 'Taliyah', 'Taliyah', 'Taliyah', 'Corki', 'Taliyah', 'Jayce', 'Ahri']"
24,Ceo,Movistar R7,-366.93,4.2,1,1,['Yasuo']
