rank,player,teamname,score,percentile,games_played,champion_pool,champion
11,Azhi,PSG Talon,640.94,60.0,84,17,"['Udyr', 'Udyr', 'Udyr', 'Udyr', 'Udyr', 'Aatrox', 'Aatrox', 'Aatrox', 'Udyr', 'Aatrox', 'Rumble', ""K'Sante"", 'Gnar', 'Gnar', 'Udyr', 'Udyr', 'Aatrox', 'Aatrox', 'Udyr', 'Rumble', 'Udyr', 'Udyr', 'Renekton', ""K'Sante"", 'Twisted Fate', 'Renekton', 'Renekton', 'Udyr', 'Rumble', 'Udyr', ""K'Sante"", 'Rumble', 'Udyr', 'Udyr', 'Rumble', ""Rek'Sai"", 'Rumble', 'Rumble', ""K'Sante"", ""K'Sante"", 'Udyr', 'Twisted Fate', 'Rumble', 'Rumble', 'Urgot', ""K'Sante"", 'Urgot', ""K'Sante"", 'Udyr', ""K'Sante"", 'Jax', ""K'Sante"", 'Twisted Fate', 'Mordekaiser', 'Twisted Fate', 'Kennen', 'Skarner', 'Udyr', 'Skarner', 'Twisted Fate', 'Twisted Fate', 'Twisted Fate', 'Kennen', 'Twisted Fate', 'Twisted Fate', 'Renekton', 'Kennen', ""K'Sante"", 'Vayne', 'Lucian', 'Twisted Fate', 'Gnar', 'Vayne', 'Poppy', 'Rumble', 'Rumble', 'Kennen', ""K'Sante"", 'Vayne', ""K'Sante"", 'Rumble', 'Rumble', 'Tristana', 'Rumble']"
12,Kiaya,GAM Esports,633.36,56.0,86,18,"['Rumble', 'Rumble', ""K'Sante"", ""K'Sante"", 'Gwen', ""K'Sante"", 'Rumble', 'Udyr', ""K'Sante"", ""K'Sante"", 'Aatrox', 'Aatrox', ""K'Sante"", 'Udyr', 'Smolder', ""K'Sante"", 'Jayce', 'Jax', 'Udyr', 'Gnar', 'Rumble', 'Jax', 'Udyr', 'Aatrox', 'Jax', 'Jax', 'Udyr', ""Rek'Sai"", 'Rumble', 'Rumble', 'Udyr', 'Rumble', 'Rumble', 'Twisted Fate', 'Smolder', 'Rumble', 'Renekton', 'Smolder', 'Twisted Fate', 'Twisted Fate', 'Twisted Fate', ""K'Sante"", 'Renekton', 'Urgot', 'Twisted Fate', 'Urgot', 'Rumble', 'Skarner', 'Jax', 'Aatrox', ""K'Sante"", 'Rumble', 'Aatrox', 'Skarner', 'Skarner', 'Mordekaiser', ""K'Sante"", 'Aatrox', 'Renekton', 'Gnar', 'Jax', 'Kennen', 'Smolder', 'Renekton', 'Renekton', 'Renekton', 'Rumble', 'Rumble', 'Twisted Fate', 'Gnar', 'Gnar', ""K'Sante"", 'Camille', 'Kennen', 'Renekton', ""K'Sante"", 'Aurora', 'Rumble', 'Aurora', 'Twisted Fate', 'Smolder', ""K'Sante"", 'Gnar', 'Camille', ""K'Sante"", 'Kennen']"
13,Breathe,Weibo Gaming,576.22,52.0,57,16,"['Skarner', 'Jax', 'Rumble', 'Skarner', ""K'Sante"", 'Camille', 'Camille', 'Twisted Fate', 'Vayne', 'Renekton', 'Skarner', ""K'Sante"", 'Poppy', 'Skarner', 'Rumble', 'Renekton', 'Camille', 'Mordekaiser', 'Renekton', 'Mordekaiser', 'Renekton', 'Dr. Mundo', 'Gnar', 'Gnar', 'Renekton', 'Renekton', 'Camille', 'Rumble', ""K'Sante"", ""K'Sante"", 'Renekton', ""K'Sante"", 'Renekton', 'Rumble', 'Jax', 'Kennen', 'Kennen', 'Renekton', ""K'Sante"", 'Kennen', ""K'Sante"", 'Gragas', 'Gnar', 'Jayce', 'Nasus', 'Kennen', 'Kennen', ""K'Sante"", 'Renekton', ""K'Sante"", 'Renekton', 'Gnar', 'Renekton', 'Renekton', ""K'Sante"", 'Renekton', ""K'Sante""]"
14,Bwipo,FlyQuest,520.44,48.0,74,22,"['Udyr', 'Olaf', 'Mordekaiser', 'Darius', 'Olaf', ""K'Sante"", 'Gragas', ""K'Sante"", 'Udyr', 'Aatrox', 'Olaf', 'Jayce', 'Renekton', 'Udyr', 'Renekton', 'Udyr', 'Renekton', 'Volibear', 'Renekton', 'Renekton', 'Gragas', 'Gragas', 'Urgot', 'Renekton', 'Gangplank', 'Olaf', 'Urgot', 'Urgot', 'Olaf', 'Zac', 'Gragas', 'Urgot', 'Renekton', 'Rumble', 'Skarner', 'Sett', 'Skarner', 'Poppy', 'Twisted Fate', 'Renekton', 'Twisted Fate', 'Skarner', 'Udyr', 'Renekton', ""K'Sante"", 'Sion', ""K'Sante"", ""K'Sante"", 'Darius', 'Renekton', 'Renekton', 'Sion', ""K'Sante"", 'Nautilus', ""K'Sante"", 'Volibear', 'Darius', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Wukong', 'Renekton', 'Rumble', 'Olaf', 'Olaf', 'Urgot', 'Renekton', 'Garen']"
15,Evi,Fukuoka SoftBank HAWKS gaming,508.89,44.0,89,21,"[""K'Sante"", ""K'Sante"", 'Rumble', ""K'Sante"", 'Rumble', 'Aatrox', 'Rumble', 'Rumble', 'Jax', 'Yone', 'Rumble', ""K'Sante"", 'Rumble', 'Akali', ""K'Sante"", 'Gnar', 'Zac', 'Twisted Fate', ""K'Sante"", 'Aatrox', 'Smolder', 'Smolder', 'Aatrox', ""K'Sante"", 'Aatrox', 'Akali', 'Ornn', 'Renekton', ""K'Sante"", 'Renekton', 'Aatrox', ""Rek'Sai"", 'Renekton', 'Gragas', 'Renekton', 'Twisted Fate', 'Twisted Fate', ""Rek'Sai"", ""Rek'Sai"", ""Rek'Sai"", 'Renekton', 'Twisted Fate', 'Twisted Fate', ""Rek'Sai"", ""K'Sante"", 'Twisted Fate', ""K'Sante"", 'Zac', 'Skarner', 'Renekton', 'Ornn', 'Zac', 'Twisted Fate', 'Mordekaiser', ""K'Sante"", 'Skarner', ""K'Sante"", 'Skarner', 'Malphite', 'Skarner', 'Skarner', ""K'Sante"", 'Ornn', 'Ornn', 'Urgot', 'Malphite', 'Kennen', 'Gnar', 'Kennen', 'Poppy', 'Ornn', 'Kennen', 'Renekton', ""Rek'Sai"", 'Rumble', 'Rumble', 'Kennen', 'Rumble', 'Malphite', 'Gnar', 'Poppy', ""K'Sante"", 'Kennen', 'Galio', 'Kennen', 'Kennen', 'Kennen', 'Kennen', 'Kennen']"
16,Nanaue,Vikings Esports,502.16,40.0,42,11,"[""K'Sante"", ""K'Sante"", 'Skarner', 'Jax', 'Renekton', 'Rumble', ""K'Sante"", 'Jax', 'Rumble', ""K'Sante"", 'Gnar', 'Kennen', ""K'Sante"", 'Gnar', 'Jax', 'Camille', 'Kennen', 'Twisted Fate', 'Jax', 'Jax', 'Twisted Fate', ""K'Sante"", 'Twisted Fate', 'Jax', ""K'Sante"", 'Gnar', 'Renekton', 'Gnar', 'Jax', 'Kennen', ""K'Sante"", 'Kennen', 'Gnar', 'Gnar', 'Jax', 'Kennen', 'Camille', 'Jax', 'Udyr', 'Gwen', 'Jax', 'Jax']"
17,Zdz,Weibo Gaming,462.33,36.0,50,12,"['Udyr', ""K'Sante"", ""K'Sante"", 'Aatrox', 'Rumble', 'Udyr', ""K'Sante"", ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Udyr', ""K'Sante"", ""K'Sante"", ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Udyr', ""K'Sante"", 'Udyr', 'Aatrox', 'Smolder', ""K'Sante"", 'Twisted Fate', 'Twisted Fate', 'Camille', 'Aatrox', 'Aatrox', 'Camille', 'Renekton', ""K'Sante"", 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Rumble', 'Quinn', 'Renekton', 'Gragas', 'Rumble', 'Aatrox', 'Poppy', 'Aatrox', 'Twisted Fate', ""K'Sante"", 'Varus', 'Rumble', 'Renekton', 'Twisted Fate', ""K'Sante"", 'Aatrox']"
18,Myrwn,MAD Lions KOI,422.6,32.0,75,28,"['Gwen', 'Poppy', 'Akali', 'Gwen', 'Kennen', ""K'Sante"", 'Varus', 'Fiddlesticks', 'Gnar', 'Zac', 'Jayce', 'Gwen', 'Akali', 'Twisted Fate', 'Jayce', 'Akali', 'Gwen', 'Varus', 'Gnar', ""K'Sante"", 'Twisted Fate', 'Gnar', 'Karma', ""K'Sante"", ""K'Sante"", 'Yasuo', 'Gnar', 'Rumble', 'Jayce', 'Twisted Fate', ""K'Sante"", 'Karma', 'Jayce', 'Aatrox', 'Twisted Fate', 'Gragas', 'Neeko', 'Udyr', 'Udyr', 'Varus', 'Aatrox', 'Gnar', 'Twisted Fate', 'Ahri', 'Ahri', 'Twisted Fate', ""K'Sante"", 'Varus', 'Gragas', ""K'Sante"", 'Poppy', 'Sejuani', 'Renekton', 'Renekton', 'Skarner', 'Twisted Fate', 'Camille', 'Poppy', ""K'Sante"", 'Neeko', 'Twisted Fate', 'Lulu', 'Corki', 'Zeri', 'Smolder', 'Nidalee', ""K'Sante"", ""K'Sante"", 'Nidalee', 'Nidalee', 'Nidalee', 'Kennen', 'Smolder', 'Smolder', 'Gwen']"
19,Fireblade,Vikings Esports,419.0,28.0,10,4,"['Renekton', ""K'Sante"", ""Rek'Sai"", ""K'Sante"", 'Renekton', ""K'Sante"", 'Aatrox', ""K'Sante"", ""K'Sante"", 'Renekton']"
20,Wizer,paiN Gaming,385.17,24.0,68,20,"['Kayle', 'Rumble', ""K'Sante"", 'Kayle', ""K'Sante"", ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Udyr', 'Aatrox', 'Poppy', 'Yone', 'Jayce', 'Gnar', 'Gnar', 'Aatrox', 'Jax', 'Aatrox', 'Gragas', 'Gragas', 'Renekton', 'Gnar', 'Renekton', 'Jax', 'Gnar', 'Olaf', 'Renekton', ""K'Sante"", 'Olaf', ""Rek'Sai"", 'Gnar', 'Rumble', 'Rumble', 'Twisted Fate', 'Jax', 'Jax', 'Urgot', 'Rumble', ""Rek'Sai"", ""K'Sante"", 'Jax', 'Twisted Fate', 'Mordekaiser', 'Twisted Fate', 'Skarner', 'Skarner', 'Skarner', ""K'Sante"", 'Rumble', 'Gnar', 'Renekton', 'Jax', 'Gnar', 'Gnar', 'Gnar', 'Rumble', 'Rumble', 'Rumble', 'Gwen', 'Rumble', 'Camille', ""K'Sante"", 'Jax', ""K'Sante"", 'Jax', 'Olaf', ""K'Sante"", ""K'Sante""]"
21,Kratos,Vikings Esports,367.96,20.0,27,9,"[""K'Sante"", 'Aatrox', 'Aatrox', ""K'Sante"", 'Gwen', 'Jax', 'Aatrox', 'Gwen', 'Aatrox', 'Gnar', ""K'Sante"", ""K'Sante"", 'Yone', ""K'Sante"", ""K'Sante"", 'Poppy', 'Malphite', ""K'Sante"", 'Udyr', ""K'Sante"", 'Jax', ""K'Sante"", ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Aatrox', 'Aatrox']"
22,Sniper,100 Thieves,303.34,16.0,60,11,"['Riven', 'Gwen', ""K'Sante"", ""K'Sante"", 'Aatrox', ""K'Sante"", 'Olaf', 'Aatrox', 'Aatrox', 'Renekton', 'Renekton', 'Aatrox', 'Jayce', 'Olaf', 'Aatrox', 'Aatrox', 'Rumble', 'Jayce', 'Jax', 'Jax', 'Jax', 'Aatrox', ""K'Sante"", 'Jax', 'Renekton', 'Renekton', 'Renekton', 'Camille', 'Camille', ""K'Sante"", 'Skarner', 'Renekton', ""K'Sante"", ""K'Sante"", 'Jax', 'Camille', ""K'Sante"", 'Jax', 'Renekton', 'Renekton', 'Olaf', ""K'Sante"", 'Renekton', 'Jax', ""K'Sante"", 'Renekton', 'Jax', 'Renekton', ""K'Sante"", 'Renekton', 'Olaf', 'Camille', 'Renekton', ""K'Sante"", 'Renekton', 'Renekton', 'Renekton', ""K'Sante"", 'Jax', 'Renekton']"
23,Summit,Movistar R7,293.01,12.0,70,18,"['Jax', 'Jax', 'Aatrox', 'Gnar', 'Gnar', 'Aatrox', 'Jayce', ""K'Sante"", 'Akali', 'Aatrox', 'Aatrox', 'Aatrox', ""K'Sante"", 'Rumble', ""K'Sante"", 'Gwen', ""K'Sante"", 'Yone', 'Jax', 'Akali', 'Jax', 'Jax', 'Renekton', 'Rumble', 'Gnar', ""K'Sante"", 'Aatrox', 'Gragas', 'Jax', 'Gragas', 'Jayce', 'Irelia', 'Jayce', ""K'Sante"", 'Aatrox', 'Aatrox', 'Karma', 'Karma', 'Aatrox', 'Jax', ""K'Sante"", 'Twisted Fate', 'Gnar', 'Twisted Fate', 'Renekton', 'Gnar', 'Renekton', 'Skarner', 'Skarner', ""K'Sante"", 'Gnar', 'Jayce', ""K'Sante"", 'Gnar', 'Gnar', 'Renekton', 'Jayce', 'Jayce', 'Gnar', 'Renekton', ""K'Sante"", 'Poppy', 'Gnar', ""K'Sante"", 'Aatrox', 'Poppy', 'Jayce', 'Rumble', 'Camille', 'Kennen']"
24,Breathe,Royal Never Give Up,263.4,8.0,36,16,"['Udyr', ""K'Sante"", 'Kennen', 'Rumble', 'Rumble', 'Poppy', 'Jax', 'Jax', 'Gnar', 'Udyr', 'Udyr', 'Aatrox', ""K'Sante"", 'Yone', ""K'Sante"", 'Aatrox', 'Zac', 'Udyr', 'Gwen', ""K'Sante"", ""K'Sante"", 'Aatrox', 'Gwen', 'Yasuo', 'Yone', 'Aatrox', 'Renekton', 'Camille', 'Renekton', ""K'Sante"", 'Jayce', 'Jax', ""K'Sante"", 'Twisted Fate', 'Jayce', 'Jayce']"
25,Keine,Movistar R7,-515.15,4.0,1,1,"[""K'Sante""]"
