rank,player,teamname,score,percentile,games_played,champion_pool,champion
11,Jun,Fnatic,237.37,63.0,101,18,"['Milio', 'Renata Glasc', 'Blitzcrank', 'Rell', 'Neeko', 'Renata Glasc', 'Rell', 'Milio', 'Blitzcrank', 'Nautilus', 'Renata Glasc', 'Nautilus', 'Nautilus', 'Blitzcrank', 'Nautilus', 'Ashe', 'Ashe', 'Nautilus', 'Milio', 'Maokai', 'Renata Glasc', 'Karma', 'Rell', 'Nautilus', 'Rell', 'Rell', 'Nautilus', 'Ashe', 'Nautilus', 'Alistar', 'Leona', 'Nami', 'Tahm Kench', 'Rumble', 'Nautilus', 'Nautilus', 'Alistar', 'Rell', 'Ashe', 'Blitzcrank', 'Rakan', 'Renata Glasc', 'Rell', 'Lulu', 'Alistar', 'Blitzcrank', 'Nautilus', 'Renata Glasc', 'Neeko', 'Renata Glasc', 'Rakan', 'Rakan', 'Rakan', 'Lulu', 'Renata Glasc', 'Rakan', 'Ashe', 'Nami', 'Ashe', 'Milio', 'Ashe', 'Renata Glasc', 'Nami', 'Rumble', 'Ashe', 'Nautilus', 'Rell', 'Nautilus', 'Rell', 'Nautilus', 'Leona', 'Leona', 'Rell', 'Leona', 'Alistar', 'Nautilus', 'Rakan', 'Nautilus', 'Rell', 'Alistar', 'Rakan', 'Alistar', 'Bard', 'Rell', 'Leona', 'Rell', 'Rell', 'Leona', 'Leona', 'Braum', 'Braum', 'Rakan', 'Rell', 'Leona', 'Leona', 'Rell', 'Rakan', 'Leona', 'Rell', 'Leona', 'Leona']"
12,Elio,GAM Esports,235.35,59.3,86,22,"['Milio', 'Milio', 'Nami', 'Rell', 'Milio', 'Milio', 'Bard', 'Milio', 'Renata Glasc', 'Renata Glasc', 'Nautilus', 'Tahm Kench', 'Milio', 'Milio', 'Tahm Kench', 'Maokai', 'Tahm Kench', 'Maokai', 'Ashe', 'Maokai', 'Rakan', 'Maokai', 'Maokai', 'Nautilus', 'Tahm Kench', 'Ashe', 'Hwei', 'Tahm Kench', 'Nami', 'Nautilus', 'Neeko', 'Pyke', 'Renata Glasc', 'Nautilus', 'Nautilus', 'Nautilus', 'Renata Glasc', 'Rumble', 'Rakan', 'Veigar', 'Rumble', 'Veigar', 'Rakan', 'Nautilus', 'Nautilus', 'Maokai', 'Nautilus', 'Poppy', 'Maokai', 'Rell', 'Poppy', 'Renata Glasc', 'Nautilus', 'Leona', 'Poppy', 'Leona', 'Leona', 'Poppy', 'Braum', 'Braum', 'Renata Glasc', 'Leona', 'Nautilus', 'Rell', 'Leona', 'Leona', 'Leona', 'Soraka', 'Renata Glasc', 'Poppy', 'Braum', 'Seraphine', 'Galio', 'Renata Glasc', 'Rell', 'Braum', 'Poppy', 'Rakan', 'Alistar', 'Alistar', 'Braum', 'Braum', 'Alistar', 'Rell', 'Bard', 'Braum']"
13,Kuri,paiN Gaming,228.44,55.6,68,15,"['Rell', 'Milio', 'Milio', 'Rell', 'Nami', 'Ashe', 'Renata Glasc', 'Nami', 'Milio', 'Rakan', 'Nautilus', 'Nautilus', 'Tahm Kench', 'Lulu', 'Lulu', 'Rakan', 'Tahm Kench', 'Neeko', 'Ashe', 'Lulu', 'Neeko', 'Rakan', 'Renata Glasc', 'Neeko', 'Lulu', 'Neeko', 'Milio', 'Ashe', 'Alistar', 'Lulu', 'Renata Glasc', 'Rakan', 'Rakan', 'Rell', 'Rakan', 'Thresh', 'Braum', 'Rell', 'Braum', 'Nautilus', 'Nautilus', 'Braum', 'Rell', 'Alistar', 'Rakan', 'Rakan', 'Alistar', 'Alistar', 'Rakan', 'Braum', 'Rell', 'Alistar', 'Rakan', 'Leona', 'Rakan', 'Bard', 'Bard', 'Braum', 'Braum', 'Alistar', 'Alistar', 'Alistar', 'Alistar', 'Rell', 'Rakan', 'Rell', 'Rell', 'Alistar']"
14,Busio,FlyQuest,218.28,51.9,74,18,"['Seraphine', 'Ashe', 'Karma', 'Renata Glasc', 'Neeko', 'Nautilus', 'Bard', 'Blitzcrank', 'Renata Glasc', 'Ashe', 'Ashe', 'Rakan', 'Renata Glasc', 'Tahm Kench', 'Ashe', 'Nautilus', 'Nautilus', 'Pyke', 'Nautilus', 'Karma', 'Renata Glasc', 'Nautilus', 'Nautilus', 'Nautilus', 'Tahm Kench', 'Rumble', 'Nautilus', 'Nami', 'Nautilus', 'Renata Glasc', 'Nautilus', 'Renata Glasc', 'Neeko', 'Ornn', 'Ornn', 'Leona', 'Leona', 'Alistar', 'Leona', 'Renata Glasc', 'Poppy', 'Leona', 'Nautilus', 'Leona', 'Bard', 'Bard', 'Bard', 'Rell', 'Leona', 'Nami', 'Rell', 'Alistar', 'Leona', 'Rakan', 'Karma', 'Alistar', 'Bard', 'Leona', 'Alistar', 'Rell', 'Nautilus', 'Rakan', 'Nautilus', 'Renata Glasc', 'Karma', 'Leona', 'Renata Glasc', 'Leona', 'Leona', 'Leona', 'Leona', 'Rell', 'Alistar', 'Leona']"
15,Keria,T1,206.17,48.1,147,34,"['Milio', 'Senna', 'Bard', 'Milio', 'Nami', 'Nautilus', 'Tahm Kench', 'Nami', 'Ashe', 'Pyke', 'Nami', 'Ornn', 'Lux', 'Sion', 'Ashe', 'Tahm Kench', 'Ezreal', 'Neeko', 'Ornn', 'Milio', 'Tahm Kench', 'Nautilus', 'Alistar', 'Tahm Kench', 'Hwei', 'Tahm Kench', 'Nami', 'Kalista', 'Tahm Kench', 'Nami', 'Nami', 'Nami', 'Nami', 'Bard', 'Neeko', 'Nautilus', 'Tahm Kench', 'Rumble', 'Nami', 'Lulu', 'Thresh', 'Sion', 'Rumble', 'Camille', 'Sejuani', 'Renata Glasc', 'Rakan', 'Sejuani', 'Ornn', 'Nautilus', 'Poppy', 'Neeko', 'Nami', 'Lulu', 'Nami', 'Neeko', 'Rumble', 'Tahm Kench', 'Ashe', 'Alistar', 'Neeko', 'Camille', 'Bard', 'Kalista', 'Tahm Kench', 'Tahm Kench', 'Tahm Kench', 'Renata Glasc', 'Ornn', 'Kalista', 'Rell', 'Ornn', 'Renata Glasc', 'Alistar', 'Nautilus', 'Nautilus', 'Ashe', 'Nautilus', 'Ornn', 'Nautilus', 'Tahm Kench', 'Ornn', 'Rell', 'Rell', 'Renata Glasc', 'Ashe', 'Leona', 'Neeko', 'Alistar', 'Nautilus', 'Rakan', 'Leona', 'Rakan', 'Alistar', 'Leona', 'Maokai', 'Bard', 'Leona', 'Braum', 'Ashe', 'Renata Glasc', 'Rakan', 'Braum', 'Renata Glasc', 'Rakan', 'Lulu', 'Braum', 'Rakan', 'Leona', 'Braum', 'Seraphine', 'Leona', 'Braum', 'Rell', 'Sejuani', 'Lux', 'Ornn', 'Soraka', 'Leona', 'Renata Glasc', 'Karma', 'Nautilus', 'Nautilus', 'Senna', 'Alistar', 'Rell', 'Rell', 'Rell', 'Nautilus', 'Braum', 'Rell', 'Bard', 'Senna', 'Lee Sin', 'Rell', 'Lux', 'Braum', 'Shen', 'Alistar', 'Zilean', 'Alistar', 'Leona', 'Alistar', 'Leona', 'Alistar', 'Alistar', 'Leona']"
16,Kairi,Vikings Esports,145.31,44.4,27,12,"['Rakan', 'Braum', 'Nautilus', 'Rell', 'Rakan', 'Nautilus', 'Nami', 'Renata Glasc', 'Rakan', 'Rakan', 'Ashe', 'Nami', 'Rakan', 'Rell', 'Bard', 'Pyke', 'Nautilus', 'Nautilus', 'Ashe', 'Maokai', 'Nautilus', 'Rakan', 'Nautilus', 'Alistar', 'Nautilus', 'Neeko', 'Maokai']"
17,Bie,Team Whales,129.83,40.7,31,12,"['Ashe', 'Nautilus', 'Nautilus', 'Nautilus', 'Milio', 'Milio', 'Nautilus', 'Milio', 'Hwei', 'Nautilus', 'Ashe', 'Maokai', 'Milio', 'Tahm Kench', 'Nautilus', 'Rell', 'Maokai', 'Alistar', 'Hwei', 'Pyke', 'Maokai', 'Ashe', 'Nautilus', 'Galio', 'Rakan', 'Rell', 'Rakan', 'Alistar', 'Rumble', 'Alistar', 'Nautilus']"
18,Oddie,Movistar R7,127.27,37.0,2,2,"['Milio', 'Braum']"
19,Mark,LNG Esports,122.41,33.3,16,9,"['Milio', 'Nami', 'Renata Glasc', 'Rakan', 'Rakan', 'Ashe', 'Milio', 'Tahm Kench', 'Rakan', 'Milio', 'Pyke', 'Milio', 'Nautilus', 'Maokai', 'Milio', 'Milio']"
20,Mikyx,G2 Esports,108.61,29.6,107,20,"['Renata Glasc', 'Nautilus', 'Rell', 'Zyra', 'Nautilus', 'Sona', 'Neeko', 'Nautilus', 'Renata Glasc', 'Maokai', 'Maokai', 'Nami', 'Milio', 'Braum', 'Taric', 'Braum', 'Leona', 'Nautilus', 'Renata Glasc', 'Nautilus', 'Nautilus', 'Braum', 'Milio', 'Rakan', 'Renata Glasc', 'Tahm Kench', 'Rell', 'Neeko', 'Rell', 'Leona', 'Nami', 'Nautilus', 'Nami', 'Thresh', 'Lulu', 'Nautilus', 'Lulu', 'Janna', 'Lulu', 'Thresh', 'Blitzcrank', 'Thresh', 'Rell', 'Leona', 'Poppy', 'Renata Glasc', 'Poppy', 'Poppy', 'Poppy', 'Poppy', 'Leona', 'Braum', 'Neeko', 'Poppy', 'Nautilus', 'Braum', 'Taric', 'Poppy', 'Renata Glasc', 'Nami', 'Milio', 'Poppy', 'Renata Glasc', 'Braum', 'Nautilus', 'Braum', 'Rell', 'Braum', 'Braum', 'Rell', 'Leona', 'Leona', 'Renata Glasc', 'Seraphine', 'Leona', 'Rakan', 'Nautilus', 'Rell', 'Braum', 'Leona', 'Nautilus', 'Nautilus', 'Leona', 'Poppy', 'Nautilus', 'Nautilus', 'Rell', 'Rakan', 'Rell', 'Rell', 'Rell', 'Braum', 'Poppy', 'Rell', 'Nautilus', 'Rell', 'Seraphine', 'Nautilus', 'Nautilus', 'Rell', 'Rakan', 'Rakan', 'Leona', 'Rakan', 'Rakan', 'Rell', 'Rell']"
