league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LJL,1/20/2024 12:00,2,bot,Marble,Fukuoka SoftBank HAWKS gaming,Xayah,2233,0,6,2,4,5,0.625,0,1,0,761.3793,0.330399,349.5208,0.3493,0.4299,1.1554,0.300908,10.3717
LEC,1/20/2024 18:05,1,bot,Hans Sama,G2 Esports,Varus,1883,1,2,4,4,1.5,0.4,0,0,0,501.7313,0.195113,480.8922,0.5098,0.1912,1.0834,0.204435,7.4243
LEC,1/20/2024 18:05,1,bot,Supa,MAD Lions KOI,Ashe,1883,0,1,3,4,1.666666667,0.357142857,0,0,0,347.7961,0.154597,508.3271,0.223,0.3186,0.9559,0.190179,7.4243
LEC,1/20/2024 19:01,1,bot,Noah,Fnatic,Varus,1677,0,2,2,5,3.5,0.875,0,0,0,530.8766,0.312761,364.1503,0.3936,0.2504,1.0733,0.239827,8.7299
LCS,1/20/2024 20:15,1,bot,Yeon,Team Liquid,Jhin,2095,0,3,2,5,4,1,0,1,0,505.9475,0.220756,304.7255,0.3437,0.1718,0.8305,0.258292,8.7637
CBLOL,1/27/2024 18:03,1,bot,TitaN,paiN Gaming,Caitlyn,2024,1,7,0,5,12,0.923076923,0,0,0,879.5158,0.37058,309.5158,0.6818,0.3557,1.5711,0.294525,10.1383
LCS,1/20/2024 22:30,1,bot,Massu,FlyQuest,Senna,1829,1,2,2,8,5,0.769230769,0,0,0,784.4943,0.268058,385.1941,1.0826,0.164,1.8699,0.166145,2.7228
CBLOL,1/28/2024 18:18,1,bot,TitaN,paiN Gaming,Kalista,2276,0,4,3,9,4.333333333,0.866666667,1,0,0,461.3884,0.188157,531.5378,0.6063,0.5272,1.8981,0.258237,9.464
CBLOL,2/3/2024 18:00,1,bot,TitaN,paiN Gaming,Lucian,2403,1,13,5,2,3,0.789473684,1,0,0,1028.3895,0.426199,637.3034,0.5243,0.3995,1.6729,0.30762,9.9875
LCK,1/21/2024 8:48,1,bot,Aiming,Dplus KIA,Xayah,1544,1,3,0,4,7,0.636363636,0,0,0,389.456,0.19398,189.0155,0.4663,0.544,1.4378,0.279938,11.5415
