league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LJL,1/20/2024 12:00,2,sup,Vsta,Fukuoka SoftBank HAWKS gaming,Rakan,2233,0,2,5,11,2.6,0.8125,1,0,0,180.8867,0.0784954,559.7492,2.4989,0.618,4.326,0.115244,0.8867
LEC,1/20/2024 18:05,1,sup,Mikyx,G2 Esports,Zyra,1883,1,2,4,7,2.25,0.6,0,0,1,538.2793,0.209326,455.6877,2.7722,0.8922,5.5443,0.153926,2.6766
LEC,1/20/2024 18:05,1,sup,Alvaro,MAD Lions KOI,Renata Glasc,1883,0,1,2,10,5.5,0.785714286,0,1,0,137.334,0.0610456,473.6909,1.6888,0.8922,3.8874,0.124997,1.4976
LEC,1/20/2024 19:01,1,sup,Jun,Fnatic,Rell,1677,0,1,6,7,1.333333333,1,0,1,0,124.9016,0.0735846,580.7871,1.5742,0.2504,3.0411,0.104457,0.8945
LCS,1/20/2024 20:15,1,sup,CoreJJ,Team Liquid,Ashe,2095,0,1,2,7,4,1,1,0,0,317.4988,0.138532,320.7637,2.2625,0.8878,5.2124,0.128654,1.4893
LCS,1/20/2024 20:15,1,sup,Eyla,100 Thieves,Karma,2095,1,1,2,10,5.5,0.6875,0,0,1,270.3007,0.133817,412.8974,2.1193,0.716,3.4654,0.105339,2.4916
CBLOL,1/20/2024 20:46,1,sup,Kuri,paiN Gaming,Rell,1934,0,0,7,7,1,0.636363636,0,0,1,114.5708,0.0548827,417.2389,2.1406,0.2482,3.5677,0.084936,1.0858
LCS,1/20/2024 22:30,1,sup,Busio,FlyQuest,Seraphine,1829,1,1,2,9,5,0.769230769,0,0,0,427.8075,0.14618,370.3335,1.1154,0.5249,2.6572,0.17839,6.725
LCK,1/21/2024 6:09,1,sup,Delight,Hanwha Life Esports,Rakan,2181,1,0,1,13,13,0.8125,0,1,0,163.3012,0.0721211,540.9904,2.4759,0.4952,4.6768,0.102097,1.0729
LCK,1/21/2024 7:08,2,sup,Delight,Hanwha Life Esports,Rakan,1869,1,2,1,9,11,0.785714286,0,1,0,181.4125,0.0817233,412.6485,2.504,0.6742,4.4944,0.123219,1.5409
